Track;Album Name;Artist;Release Date;ISRC;All Time Rank;Spotify Streams;Spotify Playlist Count;Spotify Playlist Reach
I CAN'T STOP ME;Eyes Wide Open;TWICE;10/26/2020;US5TA2000134;22;384886220;32051;9361355
Mercy;Mercy;Shawn Mendes;8/18/2016;USUM71603531;2727;1351515181;114379;33997882
2 Phones;2 Phones;Kevin Gates;11/06/15;USAT21503158;3083;384977271;71685;12302836
Ay Vamos;Superventas 2015;J Balvin;03/03/14;MXUM71400922;1966;385438228;51062;16368668
Wasted Love (feat. Lagique);Wasted Love (feat. Lagique);Ofenbach;01/08/21;FR9W12028036;2868;385903701;66419;24104595
Piensan;Piensan;Myke Towers;9/13/2019;QM7281950868;4059;387094388;6156;9322479
Sacrifice;The Highlights (Deluxe);The Weeknd;02/05/21;USUG12106685;324;387273112;61978;16015269
Watch Me;This Is A Challenge;Silento;12/16/2016;USAT21603705;2223;387389363;20;1347
Hot (feat. Gunna);So Much Fun;Young Thug;8/16/2019;USAT21904711;3635;387820994;84975;16825587
Salt;Salt (The Remixes);Ava Max;12/12/19;USAT21906991;2891;388802420;5608;8025213
Little Bit of Love;Little Bit of Love;Tom Grennan;01/08/21;GBARL2001197;281;389164529;60436;21604450
Where Did You Go? (feat. MNEK);Where Did You Go?;Jax Jones;1/26/2022;GBUM72108841;1488;389547230;65208;36265310
A-O-K;A-O-K;Tai Verdes;05/06/21;USQX92101406;1982;389915082;101681;12962599
Pulsar Bike;Dhamaka (Original Motion Picture Soundtrack) - EP;Bheems Ceciroleo;01/07/23;IND292208377;3844;39057770;1308;893063
Melhor Vibe;Melhor Vibe;MC Ryan SP;3/20/2024;BRWMB2400319;1519;39157273;2886;19563551
Get In With Me;Get In With Me - Single;Bossman Dlow;1/19/2024;USQX92400087;818;39401314;7442;18628678
Tacata;Tacata;Tiagz;08/11/23;SGB502390555;2172;39715603;13502;1974605
Saiyaan Ji;Saiyaan Ji;Yo Yo Honey Singh;1/27/2021;INS182100158;3942;39793463;5646;1398949
Drippy;Drippy;Sidhu Moose Wala;02/02/24;INU252412475;2537;39891157;2503;5333908
Company;Company;Emiway Bantai;1/22/2023;FR2X42304449;2144;39899018;2423;691567
Cold Heart (Claptone Remix);Cold Heart (Claptone Remix);Elton John;10/08/21;GBUM72105701;4473;39941762;16015;4618819
TULUM;TULUM;Peso Pluma;6/28/2023;QM7282325573;328;390182196;36912;13688250
Mercy;I Love R&B;Kanye West;01/01/12;USUM71203564;4326;396015053;93596;20357135
DOLLAZ ON MY HEAD (feat. Young Thug);WUNNA;Gunna;5/22/2020;QMCE32000228;4035;390498074;113725;17440703
Into Your Arms (feat. Ava Max);Into Your Arms (feat. Ava Max);Witt Lowry;06/08/18;USAT21802013;2232;390529605;68181;10506568
24 (feat. Lil Baby);24 (feat. Lil Baby);Money Man;8/14/2020;USUYG1327132;3267;390733154;105426;12610976
Dead Man Walking;Dead Man Walking;Brent Faiyaz;9/18/2020;QM24S2006908;3382;390893607;1099;16744963
My Type;ICY;Saweetie;3/29/2019;USWB11900833;3018;390907316;59994;18611146
Zombie;Zombie;Bad Wolves;1/19/2018;USDPK1800004;3718;391235723;77293;8225027
El Rescate;El Rescate - Single;Grupo Marca Registrada;7/22/2022;USDXS2202347;2528;391773238;34952;16586286
Agua (with J Balvin);"Agua (with J Balvin) [Music From ""Sponge On The Run"" Movie]";Tainy;07/09/20;USUM72013642;822;391856304;68311;11888692
MIDDLE CHILD;MIDDLE CHILD;J. Cole;1/24/2019;QMJMT1902056;836;1285518117;221749;47461150
MIDDLE CHILD;TrapStar Turnt PopStar;PnB Rock;05/02/19;USAT21901942;359;143152814;37044;3705069
Summer of Love (Shawn Mendes & Tainy);Summer Of Love;Shawn Mendes;8/20/2021;USUM72114707;4406;392730501;43113;32173215
Run It Up (feat. Offset & Moneybagg Yo);Destined 2 Win;Lil Tjay;04/02/21;USSM12101540;1127;392745531;141221;21996686
Collide (feat. Tyga);Collide (feat. Tyga) - Single;Justine Skye;8/25/2014;USAT21403439;308;394458820;62418;23910420
Down Below;Feed Tha Streets II;Roddy Ricch;11/02/18;USAT21811792;1591;394772670;120605;10013237
PUFFIN ON ZOOTIEZ;I NEVER LIKED YOU;Future;4/29/2022;USSM12203787;560;395167576;135307;21175776
Fortnight (feat. Post Malone);THE TORTURED POETS DEPARTMENT;Taylor Swift;4/18/2024;USUG12401028;17;395433400;12784;177932568
Siempre Pendientes;Siempre Pendientes;Peso Pluma;8/15/2022;QM6P42200426;2865;395739041;34865;14461323
Mil Preguntas;Mil Preguntas;Q' Lokura;04/11/24;QM6MZ2414114;3385;11700613;954;5000862
Chosen (feat. Ty Dolla $ign);No Love Lost (Deluxe);Blxst;12/04/20;USP6L2000552;1705;396135437;124791;11642222
Porfa;Porfa;Feid;12/13/2019;USUM71924087;2661;396184710;62515;16214167
PUNTO 40;PUNTO 40 - Single;Rauw Alejandro;9/22/2022;USSD12200965;635;396549329;56179;20926929
What If I Told You That I Love You;What If I Told You That I Love You;Ali Gatie;1/24/2020;USWB12000024;3157;397893665;79817;11881352
LOVE DIVE;LOVE DIVE;IVE;04/05/22;KRA382204375;1243;397988770;28165;11131897
Que Va;Que Va;Alex Sensation;08/04/17;USUM71703862;4029;398779586;38061;11538458
Mil Preguntas;Mil Preguntas - Single;The La Planta;03/07/24;BK4DA2407011;2567;27026914;2367;8527648
Over the Rainbow;Alone In Iz World;Israel Kamakawiwo'ole;9/25/2001;USMAC0100119;4361;399145178;94038;14869138
Turn Me On (feat. Vula);Turn Me On (feat. Vula);Riton;9/13/2019;GBCEN1900052;423;399276193;102234;31645383
Motley Crew;Motley Crew;Post Malone;07/09/21;USUM72111566;2486;399297877;98593;24244488
Girls Like You;Red Pill Blues (Deluxe);Maroon 5;11/03/17;USUM71710831;464;399689964;43481;8855966
HOTEL LOBBY (Unc & Phew);HOTEL LOBBY (Unc and Phew);Quavo;5/20/2022;USUG12202512;1002;399707517;131547;25873871
I Hope;I Hope;Gabby Barrett;1/25/2019;TCAEB1919657;1714;399778802;50441;13504790
Hello Koun;Hello Koun;Ritesh Pandey;12/09/19;INT501947392;2972;4078322;178;28394
All My Life;All My Life;Falling In Reverse;06/06/24;USEP42414005;3879;4094651;471;11007124
That Girl;That Girl;Amrinder Gill;5/24/2024;CBEGD2400001;2582;4128853;234;2317956
Blinding Lights;Blinding Lights;The Weeknd;11/29/2019;USUG11904206;56;4281468720;590392;165544011
MANIKIN (feat. Wifisfuneral);ItWasntEnough - EP;XXXTENTACION;09/08/23;USQX92304814;868;4306793;4668;412676
A LA ORDEN;A LA ORDEN - Single;Santa Fe Klan;5/23/2024;QM6N22481184;4437;4453194;287;4319515
6 In the Morning (feat. Nate Dogg);6 In the Morning (feat. Nate Dogg) - Single;Flex (UK);5/17/2024;GBARL2400669;785;4505404;1248;19427406
"Udd Jaa Kaale Kaava (From ""Gadar 2"")";"Udd Jaa Kaale Kaava (From ""Gadar 2"") - Single";Udit Narayan;6/29/2023;INZ031413259;3774;4527224;392;329325
Yeshua (dance cruise);YESHUA (dance cruise) - Single;Dj Bentoa;4/22/2023;QZHNB2325204;2975;4546579;2741;77751
Ya No Tengo Tu Love;Origami;Sie7e;12/06/23;QZHN22300206;718;4561175;1911;300718
T.B.H;1st Mini Album 'MANITO';QWER;04/01/24;KRA382401946;1822;4579390;569;2440321
Aking Pahinga - Sped Up Version;Aking Pahinga (feat. I-ghie) [Sped Up Version] - Single;Dro Perez;12/15/2022;QZTB62239239;4184;4671066;357;205254
Million Dollar Baby;Million Dollar Baby;Ava Max;09/01/22;USAT22206818;3198;106218899;18622;4105233
Asylum;Avana (Deluxe);Olivetheboy;03/01/24;USQX92400566;194;4792243;518;3436044
Luchtballon;Luchtballon;Joost;06/04/24;NL4TG2400013;3251;4794950;498;2896644
DOLA;DOLA - Single;ANGGA DERMAWAN;5/21/2024;QZYHM2416383;4212;4906976;182;3077523
Body Moving;Body Moving;Eliza Rose;11/17/2023;GBARL2301617;3015;40047588;9525;44892824
Dime;Dime;El Malilla;4/15/2024;USA2P2420093;3827;40072883;1248;57818152
Bandook;Bandook;Nirvair Pannu;5/30/2020;FR96X2024977;740;40178056;5825;638204
Oh No;Cold As Ice;Kreepa;12/13/2019;USUYG1287925;473;40284121;14548;3212878
Chamkeela Angeelesi;"Chamkeela Angeelesi (From ""Dasara"") (Telugu)";Santhosh Narayanan;03/08/23;INH102303862;3417;40358575;1358;1211901
Love 119;Love 119;RIIZE;01/05/24;KRA302400001;3928;40415304;2509;8351511
Doctor (Work It Out) [feat. Miley Cyrus];Doctor (Work It Out) - Single;Pharrell Williams;03/01/24;USSM12400672;1435;40447209;4358;14370644
Aria;Aria - Single;Argy;9/22/2023;DEEC31810498;3043;40556347;2228;15460877
DASH;Fe3O4: BREAK;NMIXX;1/15/2024;US5TA2300179;353;40620097;287;8114713
Hold Me Closer;Diamonds (Deluxe);Elton John;11/10/17;GBUM72205030;3907;400479389;61255;53203700
MILLION DOLLAR BABY;Million Dollar Baby - Single;Tommy Richman;4/26/2024;QM24S2402528;1;390470936;30716;196631588
The Perfect Girl;The Perfect Girl;Mareux;10/13/2019;QZF8N1986577;2018;402007889;119524;26655185
Skechers;Skechers;DripReport;01/12/20;QZFYX2083092;328;402600493;78831;9948573
Love Scars;A Love Letter To You;Trippie Redd;5/14/2017;QMEU31704830;2103;402970867;78206;11962192
MY EYES;UTOPIA;Travis Scott;7/28/2023;USSM12305007;281;403132906;103255;13549357
Lily;Different World;Alan Walker;12/14/2018;NOG841813040;870;403860053;45516;8731552
Ella;Corridos Tumbados;Junior H;10/31/2019;USDXS1910299;4486;404073512;42797;7070994
Hurricane;Donda;Kanye West;8/29/2021;USUM72116311;2549;404497617;108795;16231758
Make No Sense;AI YoungBoy 2;YoungBoy Never Broke Again;10/11/19;USAT21904061;3876;404692736;117843;15973142
Candy;Candy;Doja Cat;3/23/2018;USRC11801164;3323;404872050;55578;17796199
Puntos Suspensivos;Ubuntu;Piso 21;05/11/18;MXF151800123;443;405331822;28057;6384408
Wellerman - Sea Shanty;Wellerman (Sea Shanty);Nathan Evans;1/21/2021;GBUM72100297;2336;405754991;103694;5805294
Jerusalema (feat. Nomcebo Zikode);Jerusalem;Master KG;11/29/2019;ZA82Y1900130;885;406132477;110858;13496585
Is It Over Now? (Taylor's Version) (From The Vault);1989 (Taylor's Version);Taylor Swift;10/26/2023;USUG12306691;240;406821432;20404;26073555
IDGAF (feat. Yeat);For All The Dogs;Drake;10/06/23;USUG12306072;187;406875019;8593;45178662
Broke In A Minute;Broke In A Minute;Tory Lanez;02/07/20;USUM72002126;2186;407015049;116527;22947586
Aullando;"Los Campeones del Pueblo ""The Big Leagues""";Wisin & Yandel;12/14/2018;USSD11800386;3403;407025386;32596;12353977
Conversations;Legends Never Die;Juice WRLD;07/10/20;USUG12001896;3904;407701213;93838;13263446
Music For a Sushi Restaurant;Harry's House;Harry Styles;5/20/2022;USSM12200609;1649;408265830;54371;24669724
Be Like That - feat. Swae Lee & Khalid;Be Like That (feat. Swae Lee & Khalid);Kane Brown;07/10/20;USRN11900133;304;409441742;5395;16089036
Los Botones Azules;Mi Vida En Un Cigarro 2;Junior H;02/11/22;USWL12200130;3758;409608018;3576;13777862
Love;AFROBOY;Kouz1;1/13/2023;DGA082226042;3269;41059494;17144;2565553
Lehanga;Lehanga;Jass Manak;7/25/2019;FR59R1989925;1305;41063045;297;35247
Risk;Risk;Gracie Abrams;05/01/24;USUG12401764;2617;41114784;2686;35162711
Summer Too Hot;Summer Too Hot;Chris Brown;6/23/2023;USRC12301497;3047;41255598;13071;2941901
Mon amour;Mon amour;Slimane;11/08/23;FRDZ22300550;4157;53969524;4597;8850447
GATITAS SANDUNGUERAS VOL.1;GATITAS SANDUNGUERAS VOL.1;Alvaro Diaz;5/16/2024;USUM72401566;1946;41517704;2895;85480305
L'ULTIMA POESIA;L'ULTIMA POESIA - Single;Geolier;3/22/2024;ITQ002400247;2044;41788648;2056;4977329
Mon Amour;Mon Amour;Annalisa;3/31/2023;ITQ002300239;2488;86387703;9584;2241484
UNTOUCHABLE;BORN TO BE;ITZY;01/08/24;US5TA2300214;4422;41904754;3228;13953458
Miles On It;Miles on It;Marshmello;05/03/24;QZZVQ2400059;992;41924126;3794;124369916
Wine Into Whiskey;Wine Into Whiskey;Tucker Wetmore;2/23/2024;QM24S2400488;3107;41953270;5213;4114449
Tu Aake Dekhle;The Carnival;King;9/21/2020;FRX762050882;2629;410639967;33664;5963459
Last Last;Last Last;Burna Boy;05/12/22;USAT22204901;346;410722289;130203;16877163
La Romana;X 100PRE;Bad Bunny;12/23/2018;QM7281884731;4191;410897040;71655;16804911
MONEY;LALISA;LISA;09/10/21;KRA402100099;210;1189335848;103236;33637835
Come & Get It;Stars Dance;Selena Gomez;01/01/13;USHR11334422;4526;412118303;56547;23398521
Ley Seca;Ley Seca;Jhay Cortez;09/02/21;USUM72113444;2462;412597562;80841;20936024
Rock and A Hard Place;Rock and A Hard Place;Bailey Zimmerman;06/10/22;USWB12201797;430;412845771;59749;11166198
Follow You;Follow You / Cutthroat;Imagine Dragons;03/12/21;USUM72102981;1514;412887321;69959;8523570
Amor Tumbado;Mi Nuevo Yo;Natanael Cano;12/24/2019;USDXS1911811;2706;413743535;3998;7003058
Money;Money;Cardi B;10/23/2018;USAT21811495;207;580625472;62829;21001481
Sex Sounds;True 2 Myself;Lil Tjay;10/11/19;USSM11909049;1495;413974601;110016;7011141
Cuaderno;Climaxxx;Dalex;05/10/19;QM9WM1900130;3511;415170963;57071;15542644
Tak Segampang Itu;Tak Segampang Itu;Anggi Marito;12/02/22;IDUM72200281;2253;415357981;14918;7489575
GATTI;JACKBOYS;JACKBOYS;12/27/2019;USSM11915307;3033;415532384;143461;18462768
LET GO;LET GO;Central Cee;12/15/2022;US39N2203950;526;415699405;131562;25729246
Killshot;Killshot;Eminem;9/19/2018;USUM71814876;292;415971193;6775;12353206
Don't Mind;EPIC AF;Kent Jones;01/01/16;USSM11603011;2725;416147244;591;10161185
Besos Moja2;Besos Moja2;Wisin & Yandel;9/29/2022;USSD12200829;1176;416361102;4845;23910344
Go Stupid;Go Stupid;Polo G;2/14/2020;USQX92000261;1241;416388749;112485;21170575
Super Gremlin;Sniper Gang Presents Syko Bob & Snapkatt: Nightmare Babies;Kodak Black;10/30/2021;USAT22107295;672;416955991;123862;25561593
I GUESS I'M IN LOVE;I GUESS I'M IN LOVE;Clinton Kane;8/20/2021;USSM12104467;3959;416972132;75352;37597369
MONTERO (Call Me By Your Name);MONTERO (Call Me By Your Name);Lil Nas X;3/26/2021;USSM12100531;238;1902241314;316054;50751390
Demasiadas Mujeres;Demasiadas Mujeres;C. Tangana;10/08/20;ES5022000710;4423;417168757;75509;12398561
Ayy Macarena;Ayy Macarena;Tyga;11/13/2019;USQX91903309;2703;417311779;106485;11727622
Pour It Up;Unapologetic (Edited Version);Rihanna;01/01/12;USUM71214737;3964;417616725;59548;22751107
We Paid (feat. 42 Dugg);My Turn (Deluxe);Lil Baby;2/28/2020;USUG12000092;1353;417634388;128536;20047619
Open Arms (feat. Travis Scott);SOS;SZA;12/08/22;USRC12204602;1114;418181065;67858;17377077
Here's Your Perfect;Here's Your Perfect;Jamie Miller;4/30/2021;USAT22101294;2523;418998816;42598;8678739
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack];Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack];Jung Kook;11/20/2022;QZNMY2232113;448;419016792;24878;16888060
Fly Away;Fly Away;Tones And I;11/13/2020;USAT22006865;4076;419557907;58857;14747928
LA DURANGO;LA DURANGO;Peso Pluma;05/09/24;QM6N22400640;1447;42032763;2684;48467220
TQMQA;TQMQA - Single;Eladio Carrion;12/14/2023;QMFMG2300652;2335;42043071;9916;8275134
Feelings;Feelings;Sumit Goswami;07/07/20;INS172001990;3773;42067554;438;426039
Dreaming;Dreaming;Marshmello;10/20/2023;USRC12302211;1716;42151775;842;9908087
Burn It Down;Never Enough;Parker McCollum;05/12/23;USUM72223494;2737;42332727;7018;6690589
Uhaw;Uhaw;Dilaw;11/18/2022;PHW012200294;3958;42862565;5084;1645697
Look At Me Now (feat. Lil' Wayne & Busta Rhymes);Look At Me Now;Lil Wayne;02/01/11;USJI11100017;3188;420074095;84668;21613334
Woah;Woah;Lil Baby;11/08/19;USUG11902877;1851;420627588;10446;14977024
Despeinada;Despeinada;Ozuna;09/03/20;USXDR2000590;1555;420652971;51117;16617076
The Astronaut;The Astronaut;JIN;10/28/2022;USA2P2230326;1382;422186660;12509;19653160
Your Power;Your Power;Billie Eilish;4/29/2021;USUM72105934;2838;423439672;79149;22567177
Parce (feat. Justin Quiles);Parce (feat. Justin Quiles);Maluma;8/20/2020;USSD12000217;2046;423582537;58315;14632113
Moonlight;?;XXXTENTACION;3/16/2018;USUG11800209;375;1885431727;241112;41330643
Miracle (with Ellie Goulding);Miracle (with Ellie Goulding);Calvin Harris;03/10/23;GBARL2300300;470;425999315;91229;100955340
Si Tu Novio Te Deja Sola;Si Tu Novio Te Deja Sola;J Balvin;03/03/17;USUM71702120;3347;426104353;47827;17515452
Bang!;Bang!;AJR;02/12/20;QMRSZ2000128;155;426425213;79159;7658013
Otro Atardecer;Un Verano Sin Ti;Bad Bunny;05/06/22;QM6MZ2214891;2126;426439016;58352;12590067
Moonlight;Moonlight;Kali Uchis;2/24/2023;USUM72219486;275;701558859;110539;46729655
More than you know;More than you know;NoSpace;7/25/2022;QZMEM2268044;1397;203;5;33
Dos Mil 16;Un Verano Sin Ti;Bad Bunny;05/06/22;QM6MZ2214889;2249;426904285;50219;17690466
N95;Mr. Morale & The Big Steppers;Kendrick Lamar;5/13/2022;USUM72208963;1194;426936498;11802;24734503
More Than You Know;More Than You Know;Axwell /\ Ingrosso;5/24/2017;GBUM71701735;3218;1346174222;180267;66781268
You Should Probably Leave;Starting Over;Chris Stapleton;11/13/2020;USUM72013814;1566;427605317;56215;12087656
Mi Cuarto;DI LETRA;Jerry Di;04/03/20;USUM72002612;1694;427998483;56978;13109496
Close Friends (Lil Baby & Gunna);Drip Harder;Lil Baby;10/04/18;USUG11801853;2267;428009373;99524;11666867
The Spectre;The Spectre;Alan Walker;9/15/2017;NOG841713010;1395;428110164;67602;15209777
STAR WALKIN' (League of Legends Worlds Anthem);STAR WALKIN' (League of Legends Worlds Anthem) - Single;Lil Nas X;9/22/2022;USSM12208809;396;428164381;8034;18339674
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy);SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy);Amaarae;9/16/2021;US23A1540104;610;428189728;95507;22395876
Murder On My Mind;Murder On My Mind;YNW Melly;06/01/18;QMCE31801827;934;1055558326;208777;21077896
Adictiva;Adictiva;Daddy Yankee;11/09/18;US2BU1801109;3817;428271245;50261;14055347
Shut up My Moms Calling - (Sped Up);Shut up My Moms Calling (Sped up);Hotel Ugly;9/14/2022;SE6XY2215995;3746;428290193;54042;7715768
Breaking the Habit;Papercuts;Linkin Park;04/12/24;USWB12401898;802;428629823;2;454
SO DONE;SO DONE;The Kid LAROI;10/23/2020;USSM12005922;282;428787524;95178;8705363
Snow On The Beach (feat. Lana Del Rey);Midnights;Taylor Swift;10/21/2022;USUG12205737;3139;429910250;32432;18417473
Energy;Energy;Digga D;03/09/23;GB2DY2300114;4113;43078993;31275;2195709
Kurchi Madathapetti;"Kurchi Madathapetti (From ""Guntur Kaaram"") - Single";Thaman S;12/30/2023;INA092319016;1777;43280156;1397;2069274
Saami Saami;"Saami Saami (From ""Pushpa - The Rise Part - 01"") - Single";Mounika Yadav;10/28/2021;INA092117769;608;43286859;3192;1364915
Rungkad;Rungkad;Happy Asmara;10/20/2022;SGB502268229;3094;43407503;159;541311
To. X;To. X - The 5th Mini Album;TAEYEON;11/27/2023;KRA302300481;3086;43428134;4684;10751226
Loosing interest;Missing;Kurochuu;06/09/24;CA5KR2466576;1419;43492280;2;219
UN RAGAZZO UNA RAGAZZA;UN RAGAZZO UNA RAGAZZA;The Kolors;02/07/24;ITQ002400024;3295;43499127;2622;6350531
Pakistan;Pakistan;D-Block Europe;6/29/2023;USZXT2351612;3594;43844757;25855;2553452
Yes I'm A Mess;Yes I'm A Mess;AJR;9/29/2023;USUG12305391;3948;43940810;6918;9962020
Ya No Tiene Novio;Ya No Tiene Novio;Sebastian Yatra;08/10/18;USUM71809940;2834;431529832;32115;14298721
The Feels;The Feels;TWICE;10/01/21;US5TA2100080;1346;431638330;43727;10543105
VIBEZ;KIRK;DaBaby;9/27/2019;USUM71919281;147;432315500;95756;16692750
Quiere Beber;Real Hasta la Muerte;Anuel AA;7/17/2018;QM6MZ1820540;3065;432365949;52014;11084284
My House;My House;Flo Rida;3/17/2015;USAT21500384;4205;1069960318;164242;38327757
Andrea;Un Verano Sin Ti;Bad Bunny;05/06/22;QM6MZ2214893;1335;432885913;51912;12241438
Sobredosis (feat. Ozuna);Golden;Romeo Santos;7/21/2017;USSD11700341;422;433074753;46083;14763723
Rich Nigga Shit (feat. Young Thug);SAVAGE MODE II;21 Savage;10/02/20;USSM12005348;3166;433309786;13782;15190372
7 Summers;7 Summers;Morgan Wallen;8/14/2020;QZ22S1800133;4038;433429705;47966;7954524
Perro Fiel (feat. Nicky Jam);El Dorado;Shakira;5/26/2017;USSD11700143;2911;433482670;36243;15506067
MY HOUSE;MY HOUSE;Beyonce;12/01/23;USSM12308805;4374;45238166;6057;7158117
Que Calor (with J Balvin & El Alfa);Major Lazer Essentials;Major Lazer;10/19/2018;QMUY41800271;3875;433664050;78546;20739392
Pretty Savage;THE ALBUM;BLACKPINK;10/02/20;KRA402000133;4421;435823355;34658;14268149
m y . l i f e (with 21 Savage & Morray);The Off-Season;J. Cole;5/14/2021;QMJMT2103634;2135;436133194;124236;21455262
Sexy And I Know It;Sorry For Party Rocking (Japan Version);LMFAO;01/01/11;USUM71108090;853;436722440;107912;33797077
Fingers Crossed;Fingers Crossed;Lauren Spencer Smith;01/05/22;TCAFY2118876;1783;437029775;71202;18194896
Head Shoulders Knees & Toes (feat. Norma Jean Martine);Head Shoulders Knees & Toes (feat. Norma Jean Martine);Ofenbach;05/08/20;FRY682000003;2909;437558372;91322;17073985
JGL;JGL;La Adictiva;2/18/2022;MXA411400136;3241;437825141;3705;18118265
Se Te Nota (with Guaynaa);Se Te Nota (with Guaynaa);Lele Pons;09/02/20;USUM72016220;1756;437956158;52166;18095179
Something About You;Something About You;Eyedress;06/03/21;GBMYF2000174;2162;438511316;96233;22697396
Cover Me In Sunshine;Cover Me In Sunshine;P!nk;02/12/21;USRC12100138;1715;439034558;90145;20519485
One Man Band;Old Dominion;Old Dominion;1/18/2019;USRN11800147;3132;439281048;44726;15623830
Run BTS;Proof;BTS;06/10/22;USA2P2226298;4132;439395056;2301;21676194
Us Vs Them;Us Vs. Them;$uicideboy$;3/29/2024;QZAPK2000499;1545;44027794;7604;6627187
HUMO;HUMO - Single;Chencho Corleone;04/04/24;QZXSR2400016;2026;44035743;2761;31791992
Dirt Cheap;Leather;Cody Johnson;11/03/23;QMCQK1900317;2387;44047842;8961;11610924
Para de Mentir;Para de Mentir;Oruam;11/16/2023;BCM9A2300096;3569;44091443;4971;5768959
Sability;Sability / Rush / Bloody Samaritan (with Kelly Rowland);Ayra Starr;02/09/23;NGA3B2316001;3028;44122161;13796;2652844
Enjoy Enjaami;Enjoy Enjaami;Dhee;03/05/21;TCAFK2171359;4054;44231951;7286;1484104
stellar;stellar;.diedlonely;6/23/2023;QM3DF2222961;3742;44235866;6022;1268699
Liquor & Cigarettes (feat. ArrDee);Liquor & Cigarettes (feat. ArrDee);Chase & Status;9/15/2023;GBUM72307879;3021;44316864;24103;5837265
VVS Switch;VVS Switch;Pressure 9X19;10/10/23;QZSYP2394390;3929;44343451;5241;2934957
GENTO;Gento;SB19;5/19/2023;PHS112300198;1631;44345269;4379;1586804
Samba de Malandro;Samba de Malandro;MC Paulin da Capital;3/14/2024;BXKG22400584;1967;44365910;3206;27886603
Been Like This;Been Like This;Meghan Trainor;3/14/2024;USSM12401540;1903;44441672;311;21182930
Position;Prime;Franglish;2/15/2024;FRD8V2400040;2492;44456165;3922;6621845
La Triple M;La Triple M;Mawell;06/02/23;QM6P42364524;671;44557662;9405;3224288
"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")";"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")";Sachin-Jigar;02/02/24;INS182400341;4369;44619695;1561;8640326
Sittin' On Top Of The World;Sittin' On Top Of The World - Single;Burna Boy;06/01/23;USAT22305462;2196;44751795;23415;3622192
Gotta Move On (feat. Bryson Tiller);The Love Album: Off the Grid (Extended);Diddy;9/20/2023;USUG12203038;3934;44931644;309;110085
Come back to me;Come back to me;RM;05/10/24;USA2P2421306;14;44991905;1389;24249059
Did It Again;Did It Again;Lil Tecca;7/24/2019;USUG11902664;1923;440181206;87099;9847312
FLOWER;ME;JISOO;3/31/2023;KRA402300002;174;440364356;26107;15314737
Hallelujah;A Pentatonix Christmas;Pentatonix;10/21/2016;USRC11601833;3885;441916342;47499;20527523
Acapulco;Acapulco;Jason Derulo;09/03/21;USAT22102812;2608;442260324;67318;33339871
YuNg BrAtZ;Revenge;XXXTENTACION;5/16/2017;USUYG1142051;195;442472374;85567;16713395
To the Bone;Flying Solo;Pamungkas;6/14/2019;FR2X41995983;4221;442614126;39861;12416351
What is Love;What Is Love;TWICE;04/09/18;US5TA1800038;3365;442941122;37463;7860589
CAIRO;CAIRO;KAROL G;11/13/2022;USUM72220925;904;443093379;35995;21160001
BREAK MY SOUL;BREAK MY SOUL;Beyonce;6/21/2022;USSM12206234;544;443564590;80121;43604917
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix;Wellerman (220 KID x Billen Ted Remix);Nathan Evans;1/21/2021;GBUM72100298;1691;443854471;114482;30042982
Ferxxo 100;Ferxxo 100;Feid;06/03/22;USUM72209716;1392;444613276;56678;17366565
Sum 2 Prove;Sum 2 Prove;Lil Baby;01/10/20;USUG11902886;807;444934033;141088;17349295
NASTY;NASTY;Russ;3/17/2023;QZQAY2314815;456;23388367;9896;632527
Good News;Good News;Mac Miller;01/09/20;USWB11801008;3567;447761883;116525;15419745
Wide Awake;538 Hitzone 63;Katy Perry;01/01/12;USCA21200932;3681;447997798;47976;35749050
Djadja;Djadja;Aya Nakamura;04/06/18;FRZ041800369;1849;449300755;100823;11604346
Love Tonight - David Guetta Remix Edit;Love Tonight (David Guetta Remix);Shouse;06/11/21;USA2P2120718;1748;449513936;160789;40271009
Nasty;Nasty;Tinashe;04/12/24;USLD91757578;217;31612906;3887;106475497
SI NO ES CONTIGO;SI NO ES CONTIGO;Cris Mj;5/23/2024;QM6N22466972;427;45287928;2099;98932469
Yaar Ka Sataya Hua Hai (feat. Nawazuddin Siddiqui);Yaar Ka Sataya Hua Hai;B Praak;07/03/23;INUM72300807;406;45306335;1868;1204901
Faster n Harder;Faster n Harder;6arelyhuman;2/28/2024;QZZ4J2400085;1639;45351290;6008;7286918
Not So Bad (Leans Gone Cold);Sremm 4 Life;Rae Sremmurd;04/07/23;USUM72303405;323;45382812;26937;2239607
Khalasi | Coke Studio Bharat;Khalasi | Coke Studio Bharat;Aditya Gadhvi;07/05/23;INUM72300746;2995;45526343;6003;1405864
Amor Na Praia;Amor Na Praia;NATTAN;03/07/24;BKFGT2400043;3034;45545495;1965;21917356
The Autotrem 1.0;The Autotrem 1.0 - Single;DJ RICK 013;06/08/23;QM3DF2224166;295;45821951;10088;13570884
Love On;Love On;Selena Gomez;2/22/2024;USUM72318034;1148;45878045;3731;26039293
